Name,Detail description en,Detail description vn,Location
Phở Hà Nội,"A clear beef noodle soup with flat rice noodles, rare or well-done sliced beef, beef broth simmered with star anise, cinnamon and charred onion. Taste is fragrant, savory and light with aromatic spices. Best enjoyed in the morning as a breakfast dish or on cool days. Originating from northern Vietnam, phở Hà Nội is a cultural icon with roots in early 20th-century Hanoi street food.","Món súp phở bò với bánh phở bản to, thịt bò tái hoặc chín, nước dùng trong được hầm lâu với hoa hồi, quế và hành nướng. Vị thơm, đậm đà và thanh, mang hương thảo mộc. Thường ăn vào buổi sáng hoặc những ngày se lạnh. Phở Hà Nội có nguồn gốc từ miền Bắc, phát triển ở đầu thế kỷ 20 và trở thành biểu tượng ẩm thực Hà Nội.",Hà Nội
Phở Sài Gòn,"A southern style pho with sweeter, often richer broth, served with beef or chicken and more herbs and vegetables on the side. Ingredients include rice noodles, beef/chicken, scallions, coriander, and bean sprouts. Taste is sweeter and more herb-forward than northern phở. Best as a hearty breakfast or late-morning meal. Popular in Ho Chi Minh City where variations and street stalls abound.","Phở phong cách miền Nam có nước dùng ngọt hơn, thường giàu hương liệu, ăn kèm nhiều rau thơm, giá. Nguyên liệu gồm bánh phở, thịt bò hoặc gà, hành, mùi, giá đỗ. Vị ngọt dịu, nhiều rau thơm. Thích hợp ăn sáng hoặc giữa buổi. Rất phổ biến ở Thành phố Hồ Chí Minh với nhiều biến thể trên các gánh hàng rong.",TP. Hồ Chí Minh
Bún chả Hà Nội,"Grilled pork patties and sliced pork belly served with rice vermicelli, fresh herbs and a sweet-sour fish sauce dipping broth with pickled vegetables. Ingredients: grilled pork, bún (rice vermicelli), herbs, dipping sauce. Taste is smoky, savory, slightly sweet and tangy. Best for lunch or dinner. A Hanoi specialty made famous by its balance of charred meat and bright dipping sauce.","Thịt nướng viên và bụng heo nướng ăn kèm bún, rau sống và nước chấm chua ngọt pha mắm với đồ chua. Nguyên liệu: thịt nướng, bún, rau thơm, nước chấm. Vị khói, mặn ngọt, hơi chua. Thích hợp ăn trưa hoặc tối. Món đặc sản Hà Nội nổi tiếng nhờ sự cân bằng giữa thịt nướng thơm và nước chấm tươi mát.",Hà Nội
Bún thang,"A delicate Hanoi vermicelli soup with shredded chicken, thinly sliced omelet, pork, dried shrimp and a clear chicken broth seasoned lightly with ginger and fish sauce. Ingredients include rice vermicelli, chicken, egg, herbs, shrimp. Taste is subtle, aromatic and refined. Traditionally eaten for special family gatherings or as a light lunch. Bún thang reflects Hanoi's elegant culinary tradition.","Món bún nước thanh nhã của Hà Nội gồm bún, gà xé, trứng mỏng, thịt lợn, tôm khô và nước dùng gà trong nêm gừng và nước mắm. Vị thanh, thơm nhẹ và tinh tế. Thường dùng trong các dịp gia đình hoặc làm bữa trưa nhẹ. Bún thang phản ánh truyền thống ẩm thực tao nhã của Hà Nội.",Hà Nội
Chả cá Lã Vọng,"Pan-fried turmeric-marinated fish served at the table with dill, scallions, rice noodles and a dipping sauce. Ingredients: white fish (often catfish or basa), turmeric, dill, fish sauce, vermicelli. Taste is aromatic with turmeric and dill, savory and slightly tangy. Best at lunchtime or dinner. A Hanoi classic from the Lã Vọng neighborhood, originally served in a long-standing family restaurant tradition.","Cá tẩm nghệ chiên thơm ăn kèm thì là, hành, bún và nước chấm. Nguyên liệu: cá trắng (thường là cá basa hoặc cá quả), nghệ, thì là, hành, nước mắm, bún. Vị thơm của nghệ và thì là, béo, đậm đà. Phù hợp ăn trưa hoặc tối. Món đặc sản Hà Nội có nguồn gốc từ khu Lã Vọng, nổi tiếng qua các quán gia truyền.",Hà Nội
Bún ốc,"Snail noodle soup made with tomatoes, tamarind or vinegar and rice vermicelli, served with herbs and fried tofu. Ingredients: freshwater snails, rice vermicelli, tomato, vinegar/tamarind, herbs. Taste is slightly sour, savory and aromatic from herbs. Best for lunch or a light dinner. A traditional Hanoi street-food dish cherished for its tangy broth and chewy snails.","Bún ốc là bún nước với ốc, cà chua, me hoặc giấm và ăn kèm rau thơm, đậu rán. Nguyên liệu: ốc nước ngọt, bún, cà chua, me/giấm, rau thơm. Vị chua dịu, mặn ngọt và thơm. Thích hợp ăn trưa hoặc tối nhẹ. Món ăn đường phố truyền thống của Hà Nội, nổi bật với nước dùng chua và ốc giòn dai.",Hà Nội
Bánh cuốn Thanh Trì,"Steamed rice rolls filled with minced pork and wood ear mushrooms, served with fried shallots, herbs and fish sauce. Ingredients: rice batter, minced pork, mushroom, fried shallots. Taste is soft, slightly chewy with savory filling and fragrant shallots. Best as breakfast or snack. Originating from Thanh Trì in Hanoi, known for its silky thin rolls and light flavor.","Bánh cuốn Thanh Trì là bánh cuốn nhân thịt băm và mộc nhĩ, ăn kèm hành phi, rau và nước mắm. Nguyên liệu: bột gạo, thịt băm, mộc nhĩ, hành phi. Vị mềm, hơi dai, nhân đậm đà và hành phi thơm. Thích hợp ăn sáng hoặc ăn vặt. Có nguồn gốc từ Thanh Trì (Hà Nội), nổi tiếng nhờ lớp bánh mỏng mịn.",Hà Nội
Xôi xéo,"Sticky rice mixed with mashed mung beans, topped with fried shallots and sometimes pate or shredded chicken. Ingredients: glutinous rice, mung bean, shallots, oil. Taste is savory, slightly sweet and fragrant. Ideal for breakfast or a quick snack. A Hanoi street food staple with simple ingredients and comforting flavor.","Xôi xéo là xôi nếp trộn đậu xanh đánh nhuyễn, ăn kèm hành phi và đôi khi pâté hoặc gà xé. Nguyên liệu: nếp, đậu xanh, hành phi, dầu. Vị mặn ngọt nhẹ và thơm. Phù hợp ăn sáng hoặc ăn vặt. Món ăn đường phố quen thuộc ở Hà Nội, ấm áp và dân dã.",Hà Nội
Bánh tôm Hồ Tây,"Deep-fried shrimp fritters made from grated sweet potato batter and whole shrimp, crispy outside and soft inside. Ingredients: shrimp, sweet potato, rice flour, oil. Taste is crispy, slightly sweet and savory from shrimp. Best as a snack or appetizer, often enjoyed by the West Lake in Hanoi. A classic Hanoi street-sell by lakeside vendors.","Bánh tôm Hồ Tây là bánh tôm chiên giòn làm từ bột khoai mài và tôm nguyên con, ngoài giòn trong mềm. Nguyên liệu: tôm, khoai tây/khoai lang mài, bột gạo, dầu ăn. Vị giòn, hơi ngọt và mặn thơm từ tôm. Thích hợp ăn vặt, thường thưởng thức bên hồ Tây ở Hà Nội. Món ăn đường phố cổ điển của Hà Nội.",Hà Nội (Hồ Tây)
Kem Tràng Tiền,"A classic Hanoi ice cream served in many flavors including milk, coffee and bean. Ingredients: milk, sugar, cream, flavorings. Taste is creamy, sweet and nostalgic. Best on hot days as a refreshing treat. Iconic since colonial times and associated with the Tràng Tiền area near Hanoi's Old Quarter.","Kem Tràng Tiền là loại kem truyền thống Hà Nội với nhiều hương như sữa, cà phê, đậu. Nguyên liệu: sữa, đường, kem, hương liệu. Vị béo, ngọt và hoài cổ. Thích hợp ăn vào ngày nóng để giải nhiệt. Là biểu tượng từ thời Pháp và gắn liền với khu vực Tràng Tiền gần phố cổ Hà Nội.",Hà Nội
